,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
180,Conjunto,Fuerza,sangre,inteligencia,Edificios,distancia,animo,arrugas,talento,cuadrado,programación,formal,osadia,llamado de asustado,Cocina,representativo,apariencia,recipiente,Laboratorio,alternativo,muerte,abuelos,whiskey,respeto,lider,Lentitud,es oscura,Sopa,niños,maleficio,premio,moda,vacaciones,Cubre un cuerpo,jugoso,procacidad,algo bonito,la stevia da dulzura,sentimiento,Atracción,sociedad,todo lo ajeno al individuo,terror,eterno,escultura,Prestigio,protegerse,aspectos,monstruoso,Sigilosos,dinero,desenfreno,telescopio ,Permite percutar un arma,arena,fuego,quimica,caribe,podria ser,quedarse estancado,dominio,paga,secretos,soledad,peligro,altura,terreno plano,estar en los cinco sentidos,pena,Pena,compañia,Estricto,maldad,poder,apretables,Iglesia,cañones,escuela,jerarquia,Carabineros,desconocido,frio,limpio,Segundo padre,realeza,ganzua,selva,normalmente son de marmol,Infancia,experiencia,muerte,hogar,comunidad,hipotesis,escritorio,oscilacion,lo que tienes que hacer en Chile si quieres algo por que nada funciona bien,Doble,nostalgia,almancer algo,juguete,torbellino,Puede ser ilegal o falsificación,efectivo a recibir,salud mental,origen,"En su concepción original, reviste carácter de urgencia",firme,destreza,Ilusion,embarazo,quebrar cosas,Inspiracion,Innecesario,Multitud,inmortal,Demanda que el resto lo admire,Avion,ensalda,Que alguien te importe
181,Unión,Acompañar,sufrimiento,práctica,Arte,conectividad,fuerza,asilo,habilidad,figuras,mejora,chaqueta larga,ser audaz,llamado de auxilio,Comer,insignia,trabajo,consumo de comida,Experimentación,poco convencional,abuso,gorro con ponpon,viejo oeste,creencia,orienta a un grupo,Tiene cachitos,naturaleza,acojedor,mentiras,magos,Comida,pretencioso,viaje de placer,Puede ser dura o blanda,comidas dulces,atrevimiento,llama la atención,azucar,estado de ánimo,Gusto,agrupación,sociedad,fantasman,mareo,madera,Valoración,escapar,maneras de ser,asqueroso,Silenciosos,avaricia,furia,Universo,Es sólido (metal o plástico),piedra,calor,periodo (regla),ráfagas,confianza,hacer las cosas de forma mecanica,autoridad,entrar ,verdades ocultas ,tristeza ,señal de transito,verticalidad,planicie,saber donde estoy ,gota,Verguenza,nunca mas vi a la mia,Etapa del desarrollo,dañino,jerarquia,tierno,Religión,pánico,jardin,rey,Protestas,misterioso,silent hill,pureza,Bienhechor,jerarquia,vehiculo,sucio,Cementerio,Perros,conocimiento,asesinato,ecosistema,gente,supuesto,mueble de colegio,vaiven,libro,Sin sentimiento,recuerdos,precaucion,saltar,perturbación,Puede ser ilegal o falsificación,dinero,salud fisica,Arbol,Puede referirse al nombre de una mujer,duro,descaro,Decepcion,reparo,ser manos de hacha,Idolos,Lento,Publico,sangre,Puede ser un mix de física e intelectual,Conocimiento,cocinar,Cercania
182,Sumar,resistencia ,esta bien afilado,estrategia,Duro,disponibilidad,Partido de futbol,camina lento,destreza,geometría,perfección ,estilo de vestimenta,intrepido,grito,Exactitud ,emblema,corte,flaco,trabajo,artisitico,asesino,traje entero,puerta giratoria,secta,da el ejemplo a los demas,Deja baba,piedras,típico chileno,huevos,Juegos de rol,Naturaleza,costoso,control de velocidad,Se puede extraer,comida gourmet,osadía,pequeño ,miel,conmovedor,Afecto,junta,lugar fisico,miedo,una línea que se envuelve,escultor,Posición,huir,formas de estar,de buenos sentimientos,Perezosos,riqueza,fuera de si,Morado,Es sólido (metal o plástico),material para hacer cubiertas,quema,enamoramiento,destrucción ,infidelidad,hacer las cosas por que si,predominio,registrar ,detectives,pena ,publicidad,Cama,naturaleza,saber quien soy,agua,Sentirse incapaz de ayudar,familiar,En adolescentes,accion ejercida con malas intenciones,gobierno,cara,Agua,soldados,constructo social,soberano,Desconocido,grandioso,no se ve nada,brillo,Familiar no directo,edificio monumental,gato,amazonas,Mausoleo,Familia,Habilidad,balas,mundo,vida,antecedente,mesa,equilibrio,constancia,Visión,reencuentro,cuidado,elastico,conmoción,Puede tratarse de un movimiento telúrico posterior a uno mayor,dinero,hospital,Naturaleza,ayuda,determinado,confianza,Estar cansado,miedo,cagarla,Recrear,Ineficaz,Preciso,dracula,Puede ser un mix de física e intelectual,Experiencias,fermentacion,Cadena
183,Ecuaciones,esfuerzo,pinchazo,rapidez mental,Esfuerzo,Lograr algo,Cebolla,le cuesta escuchar y ver,fortalezas,Tiene una figura geométrica,orden ,traje de baño,coraje,noche,Precisión,pais,sociable,gordo,estudio,politico,entierro,placa de ancianos,vaqueros,comunidad,estricto,Cuerpo blando,metales,zapallo,ave grande,Cartas mágicas,plantaciones,manual,velocidad constante autos,Protege,postre,desparpajo,simple,energia,llega al corazón,Agradable,corporación,medio ambiente,palidez,resorte,museo,Lugar social,correr,modos,deformidad,Solitarios,suerte,sin pensar,Colores,Suele tener un espacio de protección del dedo,esculturas,en ellas se quemaban a las brujas,estado de animo,Katrina,contaminacion,rutina,entrada,permitir,policias,pesar ,neon,Subir,campo,vivo,dolor,Ver a alguien en una situacion penosa,imagen de mama,Antes en mujeres,venganza,orden,parte de la cara de una persona,Imposible,EEUU,moral,dueño de las tierras,Misterio,extraño,turbio,agua,Mecenas,edificio complejo y detallado,seguro,peligroso,Sepulcro,Aire Libre,Sabiduria,polvora,espacio,rural,idea,mueble con tapa para colegio,objeto,amonestacion,Igual,volver de un viaje,resguardo,estirar,agitación,repetición,plata,auto cuidado,Nacimiento,auxilio,fuerte,desenvoltura,No poder mas,ansiedad,dificultad de hacer algo,Intentar,Largo,Verdadero,pensilvania,arrogancia,Aventuras,vino,Inseparable
184,Combinación,energía,espina,predecir,Trabajo,El rango de algo,Mentas,tiene muchas historias que contar,herramientes,Lados,estético ,ropa,cualidad de alguien que es audaz,luna,Preocupaciones físicas,sociedad,tijeras,vientre,animales,al margen de la sociedad,funebre,vestimenta,peleas en un bar,aceptacion,abesado,Tiene concha,atemporales,comida de invierno,blanco,magia,cosechar plantas,artesanal,misil,Puede o no comerse,chocolate,doble cara,flor,refinada,profundo,Atractivo,sindicato,hogar,asusto,círculos,regalo,Categoría,esconderse,caracteristicas,desaliño,Expresivos,millonario,sin razonar,Infinito,Consecuencia de acción realizada por mí,erupción cutánea,cantar alrededor de una,sustancia,miedo,señal,sin movimientos,efecto,puerta ,enigma,mal ánimo ,luces,Agarrar ,paisaje,claridad,felicidad,Negativo,mama,Mentalidad centrada,conflicto,soberania,cachete,Utopico,alarmas,etica,edad media,Mentiras,raro,gases,vidrio,Adulto apoyador,Es el lugar donde reside el monarca,física,poco habitable,Tumba,Verde,Conocimiento,arma,de distintas dimensiones,costumbres,antes,escritorio de madera,suspensión,rabia,Espejo,florecimiento de emociones,segunda opción,pilas,bulla,temblores consecutivos,dolar,psicologo,Cosecha,acción de apoyar ,duro,arte,Ahogarse,personalidad,falta de dominio,Imposible de alcanzar,Perder el tiempo,Algo confiable,brujas,superficial,Lugares,manzana ,Conexión
185,Sumatoria,fuerza,avispa,estrés,Sudor,que tan lejos se puede llegar,mucho esfuerzo,experiencia y sabiduría,actividades,Une puntos,bueno ,prenda,temple,hombre lobo,Necesidad de conocimiento concreto,colores,trabaja en una barberia,guata,ecologia,region de republica checa,halloween,ropa,Mesero,Lugar religioso,dedicado,Suaviza la piel,geología,calor,bebes,miedo,cosechar frutas,artes manuales,viaje turistico,Se adapta a la forma que protege,cheff,impropio,rigurosidad,cancer,felicidad,Fascinación,representacion de algo,incontrolable,ver un fantasma,hay fideos con esta forma,arte,Jerarquía,fuga,Etapas,pegarle a la mama,Vengativos,dinero,agitacion,Lo desconocido,parte de arma,pequeñas partículas sólidas,destrucción,secretar,destrozo,causalidad,movimiento cero,influencia,admisión ,curiosidad,sentir,llamativo,Tomar algo y subirlo,geografia,rapidez ,risa,Desagradable,madre,Desarrollo completo,un acto de malas intenciones,control,carrillo,Mito,proyectil,gestos,riquezas,Extremismo,incomprensible,espesa,televisor HD,pelicula,es un lugar donde se entierra a gente de gran alcurnia,carne,cafe,Lugar de descanso,Naturaleza,Dificultad,sangre,universo,familia,a priori,para escolares,cuerda,queja,Verse a si mismo,el volver a un lugar que ya antes se habia estado,cita,espiral,tempestad,temblor,monedas,salud,Verde,asistencia,fuerza,agilidad,Querer escapar,callado,la nube negra que me persigue,Musica,papeleo,Da veracidad ,estaca de madera,soberbia,Maleta,uva,Pareja
186,sumar,sufrimiento,picadura,paciencia,Piropero,Distancia que puede lograr una acción,boca,experiencia y sabiduría,actitudes,Igual al numero de puntos en figuras planas,solución ,vestimenta,valentia,perro,Numeros,Pedazo de tela que representa algo ,te corta el pelo,abdomen,cientifico,grupo o movimiento cultural,huesos,pijama,cherif,Casa de deidades,Quien se encuentra a cargo,Parece babosa,cueva,sopa,cultura,Harry potter,agronomía,unir dos o mas telas,viaje maritimo,Puede ser medicinal,gustos,irrespetuoso,preocupación,bebidas,soledad,hechizo,agrupacion,lo que nos rodea,emoción,rulos,manualidad,Nivel,ilegal,Estados,mala persona,gatos,legado,pasión,Falta de precisión,sirve para disparar,roca,furia,cuerpo humano,miedo,efecto,reposo,capacidad de cambio,entrar,trama,tristesa,colorido,Despertar,tierra,desplante,cosquillas,Situación que prefiero evitar,tia,Punto óptimo,hacer algo encontra del bien,toma de decisiones,moflete,De boca en boca,cohete,comportamiento,absolutista,Pelea sucia,milenario,humedo,foto,mafia,lugar de realeza,mecánico,vegetacion,Cripta,Tranquilidad,Es una palabra,guerra,la tierra,ciudadanos,reglas del juego,sirve para hacer la tareas,predicción,disconformidad,Busqueda,que vuelva alguien o algo que se habia ido,propiedad,metal,locura,respuesta a un alegato,billete,limpieza,Cafe,apoyo,firmeza,elocuencia ,Necesidad de espacio,inseguridad,lentitud,homenaje,tarea,Necesario en ciencias,colmillos,sin valor,Aeropuertos,pestilente,Enlace
187,agregar,paciencia,púa,leer mentes,Fuerte,Más o menos una magnitud de trascendencia,lavarse los dientes,necesita ayuda,intenciones,Geometría,corrección,ropa,gallardo,lobo,Cocinar,Patria,te afeita el bigote,region frontal del cuerpo humano,plantas,desordenado,degradación,ropa interior,cerveza ,Hogar de vagabundos,El que lidera al equipo,Come las plantas,cripta,zapallo,ave que viaja muchos km,hechizo,granjas,unir pieles,nave de guerra,Puede ser aromática,opinión ,hipócrita,característica,dulces,felicidad,gusto,sociedad,un area que se encuentra alrededor de una cosa,Emoción de miedo,puede formar un cilindro si es ajustado,marmol,Rango,evadir,Existen diferentes,mal aspecto,leones,bienes,delirio,Hipotesis,palanca,material sólido,punto de encuentro y convivencia,reguladoras,perdida,antes ,cero,cambio,registro,drama,perdida,interesante,Mañana,desolado,soltura,tristeza,Llorar,apego,Intangible,actuar de manera inmoral,cargo,Cachete,Inexplicable,daños ,correcto,creencia,Quedar mal con los demás,relacionado con la mistica,poca vision,enfocar,imigrantes,Es un tipo de edificación caracterizada por los lujos y grandes espacios,apoyo,asco,Monumento,Pajaros,No es muy frecuente escucharla,enfrentamiento,mundo,lugar especifico,conocimiento requerido,palabra antigua de colegio,futuro,oposición,Alma,Es una acción,municiones,muelle,gran escena,respuesta,sustento economico,actividad fisica,Tierra,petición de ayuda,fortaleza,gracia,Respirar,baja sociabilidad,tonto,rendir honores,proceso,Imprescindible,historias,irrelevante,Felicidad,acidez,Unión no material
188,aumentar,soportar,aguja,anticiparse,maestro,Puede ser medido,comer chicle,muerte,caracteristicas,Colegio,aprendizaje ,traje,hacer algo sin importar los riesgos,luna llena,Chef,Orgullo ,te afeita la barba,donde se ubica el ombligo,seres vivos,extravagante,terror,café ,fiesta,En ese lugar se practica la religión,El que motiva a los demas,Es molusco,en general oscura,hambre,pájaro,pelicula,huerta,hacer ropa,barco gigante,capa,exquisito,persona sin filtro al hablar,específico,amabilidad,sentimiento,agrado,empresa,Es un conjunto de espacios alrededor de un punto,Te sobresalta,túnel,Grecia,social,esquivar,Tiene una persona,patito feo,pumas,Monopoly,éxtasi,Elementos,pistola,puede ser de una roca,puede tener connotación positiva o negativa,pastillas,viento,pista,inacción,alteración,a un establecimiento,enredo,emoción,señal,Inicio,llano,habilidad,llanto,Desesperación,sanguineo,En las frutas,Es la intención de hacer algo con maldad,instrucción ,Cara,Sueño,humo,estandard,rey,Fingir,conexión espiritual con lo extra terrenal,agua,claro,droga,Es un tipo de edificación caracterizada por los lujos y grandes espacios,desencadenar,sucio,Terreno para los muertos,Paz,Investigacion,disparo,satelite,pais,precuela,mesa y silla integrados,Oscila,molestia,Cuerpo,Se usa para describir una forma de andar,alimento,elastico,escandalo,contesta,bienestar economico,cloro,Plantar,cooperacion,dureza,libertad,Enamoramiento,incomodo,inutil,regalo,Un problema,Preciso,mitos,poco importante,Vacaciones,azucar,Relación cercana
189,incrementar,contenerse,dolor,jugar,constructor,Puede ser estimado,mal olor,exasperación,intereses,Diseño,fortalece,algodón,Capacidad de atreverse,noche,Peso ideal,Libertad,peluquero,se contrae cuando uno inhala aire,vegano,gitano,calavera,desayuno,bar,Espacio de adoración,El mejor en un grupo de personas,Se emplea en cocina francesa,antro,no había otra cosa,cuentos,terror,plantar,hacer manteles,vacaciones,carcaza,sabroso,sinvergüenza,afecto por algo,tierno,euforia,placer,grupo de personas,Describe un espacio físico,Te advierte de un peligro,montaña rusa,formas humanas,abc1,omitir,Actitud,deforme,leopardos,oro,alegría,Desorden,percutor,puede ser de arena,puede tener connotación positiva o negativa,fenotipo,lluvia,señal,inactividad,influencia,a un recinto,problema,odio,aviso,Temprano,hoyo,claro pensamiento,llorar,Sentirme inutil,Persona que te ama,Independencia,Es una intención,favor,Rubor,Misterioso,fuego,crianza,reina,Rumores,no se verifica con la razon,llovizna,que no hay confusión,lavado de dinero,Es un tipo de edificación caracterizada por los lujos y grandes espacios,comienzo,verde,Sepultura,Lugar enorme,Resultados,miedo,astro,region,presupuesto,antiguamente de madera,Es un hilo con un peso,alegato,Imagen,Todo ser vivo puede regresar,es donde se almacenan cosas,tension,bulla,saca copia,poder adquisitivo,vital,Abuelo,grupo de rescate,irruptible,baile,Deseo,introspeccion,letargo,admiración,Una diligencia,Apoya argumentos,leyendas,sin relevancia real,Libertad,liquido,Conexión
1109,operación matemática,resignarse,aveja,juego,construcción,Puede ser controlado,pasta de dientes,puede ser abuela,psicología,Hacen la cara de una figura geométrica,implica que exista una falla ,lana,Valentía ,hombre lobo,pesos,Dependencia,usa una navaja de afeitar,se expande cuando uno exhala aire,profesion,cíngaro,muerte,temprano,alcohol,Parte de una inglesia,Alguien que manda,lento,cavidad natural del terreno,calor,bebes,miedo,sembrar,hacer cortinas,sol y playa,piel fruta,rico,insolente,refleja la personalidad,confitado,extasis,deleite,ser,Describe un espacio virtual,Puede referirse a algo atroz,Tallarines,una roca esculpida,prestigio,no cumplir,Apariencia,jorobado de notredam,panteras,cofre,emocionado,Explosión,disparador,tipo de piedra,grande,celulas,peligro,huella,inmovil,accion y efecto de inlfuir,abrir,ansiedad,corazón roto,propaganda,Sueño,espacio,Capaz de pensar,triste,lamento,Es una mujer,Razonable,Ocurre cuando haces algo mal intencionado,pedido,Músculo facial,acto imposible,destrucción,aprender,monarquia,farsa,no se verifica con los 5 sentidos,fenomeno meteorológico,transparente,hombres mal vivir,Edificio monumental,interacción,animales,Santuario,Territorio,Informe,arma,ocho son,comunidad,presuposición,mesa,Fijo en un punto,enojo,espejo,Es cuando alguien vuelve a un lugar,es un conjunto de cosas en caso de emergencia,fuerza,ser dramático,repite la acción,mensual,es un estado mental del ser humano,Paciencia,rescatar,Que esta en estado sólido,irresponsabilidad,Dejar ir el aire,introversión,retardo,respeto,En notaria,Da exactitud,terror,sin modestia,viaje,ensalada,Es necesario
1110,añadir,reprimirse,piquete,deporte,trabajador,Puede ser interpretado,motivacion,Muerte,cerebro,Estudio,herramientas,poliester,Osadía ,bosque,equilibrio,Puede representar a una institución,usa tijeras y peine,donde están los abdominales,ciencia,vagancia,ciclo,noche,aperitivo,Puede ser una gran sala dentro de una catedral,Tiene autoridad sobre un grupo de subordinados,espiral,puede ser habitable,papas,niños,mago,crecer plantas,hacer tapiceria,sol y playa,protector telefono,dulce,atrevido,dedicacion,suavidad,extremo,delicia,fantasma,No es tangible pero lo que lo compone sí lo es,Puede referirse a un espíritu,Laberinto,obra hecha por mano humana,privilegios,eludir,Ideas,defecto,linces,banco,descontrol,del universo,para apretar en rifle,aparecen en la cara,Fuego,biología,tormenta,rastro,Quieto,flujo de la marea,salir del exterior,interes de algo,decepción,publicidad,Flojera,poca fauna,Tomar buenas decisiones,dolor,dar pena,Designada por tus padres,punto,Es una intención escondida,ayuda,Rosacea,poco probable,arma,normas de conducta,aristocracia,conspiración,fuera de lo físico,esfumado,no hay nada oculto,ceremonia religiosa,Es un edificio de grandes dimensiones con espacios grandes y terminaciones costosas,palo,ramas ,grecia,En el campo,Perito,defensa,gira alrededor del sol,hogar,supuesto,lugar de estudio,Se usa para medir la gravedad,demandar,agua,vuelta,es donde se preservan cosas,energía,exageración,piratea,pago,es un estado fisico del ser humano,brote,nombre de mujer,Es firme,dejar ir,Por pena,sensacion de inseguridad,incompetencia,Por admiración,Papeleo,Vigencia,murcielagos,ostentar,aventurero,acido,Atadura
1111,lo opuesto de la adición es la sustracción,fortaleza,hinchazón,habilidad mental,carpinteria,Mida la distancia virtual de una acción,animo,Arrugas,sirve para alcanzar metas,Definen una figura,modificar,textil,el chileno tiene eso,tristeza,pesar,Puede representar a un país,usa una afeitadora,rascarse la barriga es holgazanear,seres vivos,descuido,descomposicion,cama,papas fritas,Puede ser una habitación en una iglesia,Esta antes que Mayor,molusco,habitable para humanos y animales,caliente,explicaciones ,hechicero,cultivar,lo hacen los sastres y costureras,tropical,envoltura,azúcar,discusión,perfeccionamiento,placidez,entusiasmo,fascinacion,espiritu,Se utiliza para referirse a la extensión de un terreno,Es sobrenatural,Curvas,obra de arte,basura ,fuga,Acciones,malas intenciones,ocelotes,cheques,mas que agitado,astronomía,dispositivo mecánico ,Pequeño,Campo,sistema humano,refugio ,estela,Cuando no se le aplica fuerza,cambio que produce una cosa en otra,a la universidad,Misterio,engaño,noticia,Equipo de fútbol,calor,Consciente,sale del ojo humano,dolido,Se asigna en el bautizo,sazon,Puede ser una cualidad,jefe,Margaritas,Dios,guerra,modos,Inglaterra,mentira,experimentar una conexión espiritual,bruma,se puede visualizar sin interrupciones,moral,Es un edificio de grandes dimensiones con espacios grandes y terminaciones costosas,barra,plantas ,arquitectura,Naturaleza,requizar,ataque,algunos son habitables,familias,hipótesis,estudiante,Presente en la asignatura de física,exigir,imagen,retroceso ,Puede ser un terreno protegido para conservar la vida y entorno del lugar,física,tormenta,replica de un terremoto,trabajo,Es un estado de un ser vivo,planta,llamado de auxilio,Difícil de derrumbar,sin preocupaciones,Por amor,debilidad o poca claridad,ineptitud,Hacer honor,Perdida de tiempo,Depende del tiempo,inmortalidad,presumir,turista,complemento,Inseparable
1112,se simboliza con un ,empuje,punzante,requiere de inteligencia,rubro construcción,Puede aplicar al mundo no físico,coraje,Soledad,Capaz,geometria,mejorar,a la moda,picaron,dolor,ponderar,Puede ser utilizada en guerras,te corta las patillas,Panza,planeta,despreocupacion,destino,pijama,cita,Hay en cárceles,Esta después que Teniente Primero,escalera,los espeleólogos la estudian,verano,especie de ave,ritual,Implantar algo,se usan agujas,verano,caparazon,dulce,enojo,obesion,ternura,algo bueno,persona,algo sin cuerpo,En informática es un ambiente de trabajo que cumple determinadas características,Su aspecto puede horrorizarnos,Confusión,entidad aislada,estupidez,escape,Metas,arañas,mascotas,capital,que va a gran velocidad ,andrómeda,arma,Poco visible,Chimenea,mensajeras,tornado,sospecha,Objeto en reposo,provocar un efecto,al registro civil,Curiosidad,mal,informar,España,desierto,Se puede perder,aparecen cuando alguien llora ,pena,Comadre de tus padres,perfeccion,Es una cualidad negativa,tramite,Pellizcar o apretar,Fantasía,guerra,maneras,toma decisiones,trampa,relativo al misticismo,Tiene un tono blanco,no es molesto a la vista,etica,Es un edificio de grandes dimensiones con espacios grandes y terminaciones costosas,palanqueta,viscoso ,antiguo,Hay insectos,investigacion,peligro,existe en el sistema solar,vecindad,puede ser verdadero o falso,aula,Ayuda a hacer experimentos,solicitar,reflexión,retorno,Puede ser algo almacenado para ser conservado,Se estudia su física,alboroto,la continuación de algo,responsabilidad,Puede ser utilizado para referirse a una consulta que hace el servicio médico,germinación,se usa para pedir ayuda,Es duro,relajarse,Por cansancio,debilidad o poca claridad,Que es inútil,Imitación,Agotador,verdad,desconocido,cualidad de las personas,paseos,malo,Da confianza
1113,operación matematica,confianza,filoso,requiere de concentración,labores constructivos,Es una manera de decir cuanto afecta algo a otra cosa,valor,Aprendizaje,Característica de una persona,cuadrado,dialogar,chaqueta,valor,oscuridad,Muestra equilibrio ,Representa algo,crean cortes de pelo y barba,Comida,vida,abandono,cuerpo,sueño,entretención,Hay en hoteles,Esta al mando de una compañía,babosa,lugar húmedo,carbohidratos,tiene pico,maldiciones,Recolectar frutos,se usan maquinas de coser,titanic,capa protectora,comida gourmet,venganza,especifico,dulzor,sentimiento,cariñoso,paranormal,contexto,susto,Eterno,homenaje,cuico,Evitar,Características,monstruos,animales,Es la suerte que uno posee,estrés,constelación,detonador,Casi redondo,Aire libre,caracteristicas biologicas,vacas ,conjetura,Sin fuerza no se mueve,ejercer una supremacia,familiar,Interes,llanto,dar a conocer,Viento,soledad,Se pierde con el alcohol,aparece cuando hay una emoción intensa,Sentimiento,Parte de la Religión Católica,veterania,Es un acto cometido con la intención de perjudicar,mandar,Pómulo ,Solo en ocasiones,arma,formas,familia,encubrimiento,no tiene relacion con la magia,Deja ver parcialmente,descubrimiento de una verdad,confianza,Es un edificio asociado al lujo,leva,musgo,muerte,Aislado,policia,muerte,tienen gravedad,Lugar donde reside una pequeña poblacion de personas,idea que se da como cierta,madera,Columpio,Se hace cuando uno esta enojado,parentesco,inicio,Es lo que se guarda para más adelante,Sirve para amortiguar,pelea,es una repetición ,recompensa,sano,crecimiento,se pide ante una situación de peligro,Rígido,desestresarse,Resignación,encogimiento,Tiene dificultad para hacer algo,Mucho esfuerzo,Burocracia,sinceridad,blasfemo,concepto abstracto,expediciones,podrido,Afecto 
1114,aumentar,esfuerzo,naturaleza,requiere de práctica,Empleado,No es preciso,empuje,Lentitud,Todos tienen diferentes,lineas,embellecer,vestimenta,temerario,peludo,Es sólido,Va acompañada de sentimientos,Barba,Embarazo,cientifico,Alcohol ,terrenal,ropa,diversion,Hay en edificios,Es un rango militar,desplazamiento lento,en una caverna hay estalactitas,chile,pone huevos,bruja,Hechos en granja,hacer un pantalon,viaje a bahamas,externo,placentero,sin verguenza,minimo,deleite,repercusión sobre un hecho,amable,terror,hábitat ,miedo,Ilusión optica,monumento,nivel,No aceptar las reglas,distintas caras,menos que horrendo,tiernos,cantidad de bienes que se tienen,apasionado,forma de organizar,pistola,Polvo,Pinos,señales cerebrales,peligrosos,signo aparente de algo tangible,Física ,movimiento de ascenso de la marea,económico de una familia,Necesidad de saber,melancolía,Cartel,Mar mediterráneo,"un campo grande, plano y desolado",Se pierde con el sueño,aparece cuando se irrita un ojo,compasión ,Acompaña a la novia,juicio,maldad,trabajador,Blando,Religión,eeuu,modales en la mesa,jefe,Falso,algo espiritual,Puede ser mucha o poca,camino despejado,lazo familiar,Lo habitan reyes,pértiga,agua,tumba,Lugar tranquilo,embargo,daño,nuestro hogar ,distrito residencial y comercial en un area pequeña,sirve de base a un razonamiento,escritorio,Tiene periodo,Exigir algo,Reproduce algo,empezar,Puede ser un conjunto de cosas que se guardan para otro momento,Se utiliza en las camas,desorden,puede ser una respuesta,esfuerzo,desinfectado,regar,Ayuda,Puede tener mucha o poca,desenvoltura,Para relajarse,cortedad,Tonto,Por respeto,A última hora,valor,bebe sangre,orgullo ,explorar,un liquido,Parentesco
2651,integrar,determinacion,polinizacion,predecir el juego del otro,Construcción,llegada,viento,Paciencia,Habilidad,calculos,decoración,pasarela,valiente,lobo,Compara dos cosas,A veces es solo de un color,Tijeras,Cerveza,investigación,Drogas ilicitas,humano,vestido blanco para dormir,punto de Reunión,Hay en hospitales,Es una persona que dirige,concha,Cueva,sopa,tiene plumas,secta,Temporada buena,Coser,fiesta,capa externa,mas que satisfactorio,sin respeto,sutil,afabilidad,felicidad ,sonriente,medium,rodea,atónito,Comer,recuerdo,superioridad,Esquivar,modos,feo,animales,Puede ser una cantidad de riqueza,exaltado,contiene planetas,francotirador,Diminuto,Sentarse con amigos,Sustancia,arrasadores ,pista que carece de sentido pero da rastreo,Actuar sin pensar,dominio,entrada,Secreto,tristeza,Información,Punto cardinal,"un campo grande, plano y desolado",No hay cansancio mental,aparece cuando hay congestión nasal,Hacia necesitados,Esta presente en los matrimonios,prudencia,odio,orden,Beso,Creencia,casi provocan la tercera guerra mundial,hay que tener buenos modales,importante,En películas,algo contemplativo,Se ve en la cima de los cerros,determinación,importancia,monarca,maquina simple,estacado,monumento,Vacaciones,sospecha,grave,un objeto en el espacio,distrito residencial y comercial en un area pequeña,una proposición,soporte,Diferentes largos,Se hace cuando algo parece incorrecto,Proyección,regresion,ayuda,Se puede apretar,agitación,es un argumento,dinero,desintoxicado,inicio,Auxilio,Argumentos válidos,alegria,Es inconsciente,apocamiento,Poca habilidad,Fieles al original,Trato de evitarlo,autencidad,seres nocturnos ,creer demasiado en la capacidades de uno mismo,descubrir,se usa para las ensaladas,conexión
