acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
['tratado dos parte beneficiar'],['feliz hacer'],['posible situación peligro'],['llevar acción descontrolado'],,['emocion generar tras cometer accion incorrecto'],,,angustioso,['desempeño tarea'],['motivación'],,['excitado'],,,['transparencia'],,,,adversidad,['reflexion'],['objetivo curso'],['ayuda tomar decisión'],['prevención cualquiera peligro'],,,
['coincidir'],['entrega cosa cambio'],['forma expresivo aminorar peligro'],['siempre negativo'],,['sensacion malestar tras cometer error'],,,perder valioso entrar preocupación,['forma afronta'],['ilusión'],,['emocionado'],,,['frontalidad'],,,,inseguridad,['filosofia'],['poder ser secreto'],['persona terco ir transar'],['antónimo alterar'],,,
['dos persona querer reunir él llegar'],['gratificación'],['dejar alerta'],['producir malestar'],,['sentimiento negativo'],,,preocupación,['uso habilidad'],['fantasía'],,['alegrio'],,,['ser mismo'],,,,situacion incomodo,['poder ser bueno malo'],['hacer 2 mas persona'],['reflexión respecto cierto actitud'],['zona confort'],,,
['planificar hacer'],['producir luego hacer favor'],['situación estresante'],['desear adelantar tiempo'],,['remordimiento'],,,usualmente persona pasar necesitar ayuda externa,['desarrollo'],['tener confianza'],,['alegre'],,,['ser correcto'],,,,riesgo,['principal herramienta ser humano'],['organización'],['dicernimientir respecto situación'],"['otorgar candado', 'puerta cerrado', 'etc']",,,
['quedar alguien hacer'],['cortesía'],['dejar inseguridad'],['persona afectar'],,['sentir él mal haber provocado efecto negativo'],,,situación ir allar limit persona producir ansiedad,['ser habil'],['creer alguno situacion saldra esperar'],,['cuado persona hacer bueno'],,,['decir verdad'],,,,salvedad,['metodo analisis'],['llegar meta partir'],['poder elección'],['confianza'],,,
['promesa'],['persona quedar deuda'],['desafío'],['dar antojo alguno comida bebida'],,['tener responsabilidad situación'],,,ansiedad,['bueno'],['ultimo q perder'],,['emocion'],,,['ser franco'],,,,situacion activo maximo alerta persona,['idea'],['estrategia'],['capacidad actuar persona situación vida'],['preocupación'],,,
['trato'],['señal aprecio hacer mismo'],['violencia'],['trastorno poder desembocar grave adicción'],,['sentir él responsable'],,,angustiar,['lograr práctica trabajo duro'],['relacion fe'],,['sonrisa'],,,['manipular informacion real cambiandolo erroneo'],,,,exposicion ser dañado,['concepto'],['táctico'],['correcto'],['confortabilidad'],,,
['decisión conjunto'],['producir felicidad'],['prepotencia'],['bruxismo'],,['acción flagelante'],,,perder control,['habilidad'],['religion'],,['momento grato'],,,['sinceridad'],,,,generar angustiar miedo persona,['consciencia hablar'],['ingenio'],['mental'],['riesgo'],,,
['tomar desición'],['representar generalmente solo palabra'],['poner nervioso'],['insatisfacón'],,['sentir saber cometer algun error'],,,preocupado,['capacidad'],['amor'],,['sonreir vida'],,,['accion positivo relacionado decir verdad'],,,,riesgo,['nunca pasar mientras consciente'],['general grupal'],"['pensamiento', 'mente']",['sensación'],,,
['poder ser 1 mas participantr'],['acción desinteresada'],['riesgo'],['incomodidad'],,['animico pensativo'],,,esperanza,['aptitud hacer'],['renacer'],,['alegría'],,,['ser transparente'],,,,resultar poco seguridad,['pasar cerebro'],['complejidad'],['capacidad pensar cosa'],['salvo'],,,
['tratado'],['empatir'],['peligro'],['necesidad inalcansable'],,['señalar alguien responsable'],,,alterar él resultar forma querer,['arte poder hacer'],['pensar perdido abrir brecha'],,['dicho'],,,['decir verdad pesar consecuencia'],,,,amenazar bienestar,['sólo hacer ser humano'],['inicio fin militar'],['propio ser humano'],['representar peligro'],,,
['trato 2 persona'],['gracias'],"['dirigir palabra riesgo persona', 'opcion concretarlas']",['busqueda inaccequible'],,,,,ansiedad,['capacidad manual'],['perder nunca fe'],,['sient cosa salir bien'],,,['virtud persona transparente'],,,,persona buscar salvo,['diferenciar humano animal'],['importante consecuencia'],['hacer ser persona inteligente'],['gusto'],,,
"['trato', 'promesa compromiso', 'par grupo individuo']",['envíar saludo regalo'],['alerta'],['querer hacer rápido'],,,,,tener ataque panico,['ingenio'],['tener confianza ir suceder'],,['júbilo'],,,['decir solo realmente cierto'],,,,inseguridad,['involucra mente'],['permitir organizar él'],['capacidad pensar'],['zona confort'],,,
['compromiso hecho mediante palabra'],['demostración'],['correr riesgo inminente'],['poder esperar'],,,,,estrés,['creatividad'],['certero situación'],,['gozo'],,,['decir verdad'],,,,limitar,['provenir acción realizar mente'],['buscar beneficio'],['tener opnión veraz'],['tranquilidad'],,,
['trato'],['gratificación'],['advertencia cierto grado violencia'],['natural'],,,,,inquietud,['afinidad'],['creencia'],,['sonreír'],,,['actuar consinceridad'],,,,amenazar,['soler llevar idea'],['indicar ir hacer'],['tener claridad tema'],['estabilidad'],,,
['negocio'],['alguien retribuir'],['asechir peligro'],['soler dar él momento incomodo'],,,,,sensacion agobio extremo,['capacidad'],['promesa esperar cumplir alguno día'],,['sentimiento bonito'],,,['ser transparente'],,,,debre enfrentar atencion,['poder traer duda'],['premeditación'],['tener concepto acertivo dialogo'],['poder pagar'],,,
['prosperidad económico'],['ver respetar'],['sentise desprotegido situación'],['forma sentir él'],,,,,salida poder revertir él pesar esfuerzo,['presicion hacer'],['ilusión situación'],,['sentir él bien'],,,['ocultar idea u opinión aunquesear disrutiva'],,,,producir adrenalinar,['ejercitar cerebro'],['organización'],['ser conciente'],['generar esperanza'],,,
['poder tener marco legal'],['venir respuesta ayuda alguien otorgar'],,['dejar dormir'],,,,,atrapado,['habilidad'],['sentir bueno ir suceder'],,['sentimiento supremo'],,,['decir verdad'],,,,poder ser adictivo,['desarrollar mente través herramienta'],['meticuloso'],['estructura lógica pensamiento'],['poder medir'],,,
['reunión'],['dar gracias demostrar educacion básico'],,['suceder querer pase rapir'],,,,,intranquilidad poder resolver solucionar,['competencia'],['fe'],,['unido amor'],,,['mentir'],,,,amenazar,['razonamiento'],['calculado'],['idea'],['bien'],,,
['tratado'],['enseñar pequeño'],,"['poder reducir', 'controlar']",,,,,palabra utilizar vivir situacion angustiar,['habilidad'],['esperado pase'],,['liberacion buena vibra alegrio'],,,['oculptar'],,,,miedo,['capacidad crítica'],['certero'],['permitir cercar él verdad'],['derecho'],,,
['arreglo'],['deberio mantener él traves tiempo'],,['exceso poder ser malo'],,,,,emocion complicado,['capacidad competir determinado área'],['ocurrir alguien enfermo recuperar'],,['alegrio'],,,['verdad'],,,,situación inestable,['culturización'],['permitir coordinación interno'],['base pensamiento lógico'],['deber ser respetado'],,,
['comprometer él cierto condición'],['generar animico positivo'],,['estrés'],,,,,reflejar cara asombro,['decir concepto ver persona poseer habilidad determinado campo'],['pedri'],,['emocion positivo'],,,['forma sincerar él'],,,,riesgo,['progresar'],['ordenar idea'],['concepto fraccionario permitir hacer proporción'],['protección'],,,
['compromiso'],['acción realizado querer atribuir acto hecho producir resultado beneficioso receptor'],,['generar problema largo'],,,,,trastorno personalidad,['práctica'],['fe'],,['sensación alegría'],,,['transparencia'],,,,desequilibrio entorno,['sabio'],['cronológico'],['pensar actuar'],['salvo'],,,
['grupo idea común'],['acto dar gracias respecto'],,['afectar mental'],,,,,fijación determinado,['talento'],['aliciente vendra mejor'],,['gocir'],,,['expresión'],,,,amenazar,['pensador'],['objetivo claro'],['pensar acto'],['brindar tranquilidad'],,,
['fin tratado dos parte mismo lado'],['bondad'],,['afectar eje hpa'],,,,,sentimiento,['estrezar él'],['soñar cosa poder cambiar mejor'],,['satisfacción'],,,,,,,riesgo,['originado grecia'],['esquema mental lograr meta'],['meditar'],['factor'],,,
['consensir'],['alegría situación persona'],,['siempre aparecer estreado'],,,,,sensacion escapar,['desesperación'],['ultimo perder'],,['paz'],,,,,,,poder sufrir él si cuida,['generar inteligencia'],['idea llevar conseguir paso lograr'],['tener certeza'],['situación protección'],,,
['tratado'],['cariño'],,['provocar and desconcentrado'],,,,,persona poder tener él,['pasciencia'],['confianza'],,['serenidad'],,,,,,,aunque quierar siempre expuesto,['reflexión'],['idea fin'],['cordura'],['existir guardia cubrir'],,,
['lograr punto comun'],['felicidad situación'],,['aparce entrar evaluación'],,,,,huir,['habilidad desarrollado desarrollable tiempo'],['fé'],,['contento'],,,,,,,situación poder salir dañado,['elemento sumamente poderoso'],['pensamiento'],['correcto'],"['poder haber policía', 'bombero', 'ambulancia cubrir']",,,
['unir pensamiento'],['esperanza'],,['aparecer enfrenta nuevo'],,,,,correr,['habilidad'],['motivación'],,['alegría'],,,,,,,situación alarmante,['procesamiento idea'],['razonamiento logico'],['autoridad'],['cualidad'],,,
['trato'],['ayuda recibido'],,['asociado grande subida peso tiempo'],,,,,miedo,['capacidad'],['mentalidad positivo'],,['entusiasmo'],,,,,,,factor riesgo,['enmarcar pasado futuro'],['planificacion previo'],['pensar'],['asumir positivo'],,,
['arreglo'],['felicidad'],,['alterar nervio'],,,,,,['talento'],['resiliencia'],,['disfrutar'],,,,,,,poder hacer daño,['alejar presente'],['ocurrir idea'],['saber'],['atraer éxito'],,,
['consentimiento'],['sonreir'],,['producir daño colateral salud'],,,,,,['aptitud'],['expectativa bueno poder suceder'],,['tranquilidad'],,,,,,,tener cuidado,['cuestionamiento'],['buscar lograr cierto objetivo'],['conocimiento'],['buscar obtener vida cotideán'],,,
['contrato'],['animo'],,['poder causar depresión'],,,,,,['cuan facil lograr'],['resultado probable'],,['sentir él bien'],,,,,,,humnao tender siempre evitar él,['reflexión'],['ayuda organizarcir'],['inteligencia'],['buscar brindar él'],,,
['promesa'],['reconocer él hacer alguien'],,['inseguro'],,,,,,['cuan rapir lograr'],['fé'],,['verdad'],,,,,,,antónimo seguridad,['razonamiento lógico'],['poder ser varios persona solo'],['existencia'],['gorierno necesitar entregar cualidad'],,,
['realizar pacto alguno persona particular'],['humildad'],,['angustiar grande'],,,,,,['habilidad'],['sentir tranquilidad ocurrirar esperar'],,['inteligencia'],,,,,,,acompañar advertencia,['susceptible sufrir manipulación'],['hacer alguno'],,['confianza'],,,
['comprometer él alguien realizar'],['reconocimiento'],,['mental'],,,,,,['capacidad hacer cosa'],['sentir él acertivo tarde temprano ocurrirar esperado'],,['experiencia'],,,,,,,provocar daño,['cultivable entendimiento'],['poder ser buen'],,['tranquilidad'],,,
['planificar'],['honestidad'],,['preocupación'],,,,,,['detallista'],['esperar forma seguro paciente necesitar'],,['tener convicción poder ser bajo criterio bien mal fundamentar'],,,,,,,soler evitar,['influenciable personalidad'],['poder funcionar'],,['barrera protección'],,,
['realizar plan'],['capacidad crítica'],,['exitado'],,,,,,['buen desempeño'],['creer suceder'],,['tener cordura mente sano actuar'],,,,,,,construcción trabajar disminuir él,['cadena conciencia'],['anticipar'],,['fortaleza'],,,
['concenso'],['gratitud'],,['desesperado'],,,,,,['inteligente'],['fuerza ayuda sufrir'],,['momento feliz'],,,,,,,guerra mas poseer,['surgir cabeza'],['tomar contar distinto factor'],,['disminuir miedo'],,,
['igualdad'],['gratitud'],,['nervioso'],,,,,,['habilidad realizar alguno actividad particular'],['fe'],,['contento'],,,,,,,vez asocia sensacion,['pensar'],['buscar solucion frente algun problema'],,['admirado persona'],,,
['ceder'],['sensacion tras recibir positivo'],,['inquieto suceda'],,,,,,['desempeño extraourdinario algun arte'],['pensamiento llegar'],,['sentir él bien situaciòn'],,,,,,,riesgo,['todo persona'],['predisposicion accion'],,['dejar espacio duda'],,,
['quedar persona'],['gratitud'],,['hiperactivo'],,,,,,['relacionar inteligencia'],['tener fe'],,['sentir él pleno'],,,,,,,inseguridad,['abstracto'],['hacer creer'],,['poderoso herramiento convencer persona'],,,
,['sentimiento positivo generar apor tú desinteresado persona'],,['volver él loco'],,,,,,['inteligencia'],['creer ocurrirar'],,['ànimo'],,,,,,,daño,['existir'],"['llevar cabo proyecto', 'primero deber hacer']",,['firmeza'],,,
,['emoción ocurrir pasar bueno'],,['transpiracion'],,,,,,['capacidad distinto común'],,,['dar cosa buena'],,,,,,,veneno,['acto mental'],['estrategia'],,['alarma anti robo'],,,
,['dar gracias'],,['nervio'],,,,,,['competencia'],,,['alegrìa'],,,,,,,advertencia,['mente imaginar historia falso pasar él rollo'],['crongrama'],,['sentía ser niño brazo padre'],,,
,['dar regalo'],,['inseguridad'],,,,,,['capacidad'],,,['contento'],,,,,,,precipicio,['siempre constante'],['curso acción'],,['brindar carabinero guardia'],,,
,['sentimiento hacia alguien'],,['hacer doler estómago'],,,,,,['lograr perserverancia'],,,['contrario tristeza'],,,,,,,compatible seguridad,['innato'],['expresión dar necesitar conseguir'],,['plenitud sient bajo alguno peligro'],,,
,['realizar favor alguien'],,['hacer sudar'],,,,,,['existir diferente categoria'],,,['emociòn'],,,,,,,miedo,['razonamiento'],['palabra usado reunión concretar negocio'],,['sient hacer saber correcto'],,,
,['responder favor alguien'],,['desesperación'],,,,,,['practicar continuo'],,,['feliz'],,,,,,,poder llevar muerte,['consciente'],['programa'],,['sient tener apoyo gente importar'],,,
,,,['sensación placentera'],,,,,,['caracteristico'],,,,,,,,,,poder tener grave consecuencia,['cavilación'],['forma definido hacer'],,['bienestar'],,,
,,,['suceder momento tenso emoción'],,,,,,,,,,,,,,,,amenazar,['hecho mental hacer recordar surgir idea nuevo'],['regla'],,['sentimiento personal'],,,
,,,['reflejar animico intranquilo'],,,,,,,,,,,,,,,,miedo ser dañado,['generar acción profundizar alguno evento'],['esquema'],,['querer sentir yo asi'],,,
,,,['necesidad querer desesperadamente'],,,,,,,,,,,,,,,,provocar comportamiento defensivo,['común ver adulto tener acción frente futuro'],['trazado'],,['chile perder'],,,
,,,['espectante recibir alguno noticia'],,,,,,,,,,,,,,,,inducir alerta,['liga creatividad idea'],['acuerdo'],,['necesitar reja'],,,
,,,['desviar responsabilidad'],,,,,,,,,,,,,,,,preocupar,['proceso interno mental'],['set paso definidosen pos objetivo'],,['usar candado'],,,
,,,['esuna forma defensa persona miedo'],,,,,,,,,,,,,,,,opuesto seguridad,['yacer mente persona'],['pensado'],,['proteccion par alguien'],,,
,,,['evitar situación exponer circunstancia x'],,,,,,,,,,,,,,,,enfocar totalmente,"['figuración mental respecto letra', 'objeto', 'persona', 'cosa', 'etc']",['preparado'],,['policia protegen'],,,
,,,['ausencia'],,,,,,,,,,,,,,,,subir adrenalinar,['representación mental respecto alguien'],['estrategia implementar conseguirun objetivo'],,['país mas'],,,
,,,,,,,,,,,,,,,,,,,producir repulsión,['idea'],['programación paso detallado lograr fin'],,['carcel deber tener él'],,,
,,,,,,,,,,,,,,,,,,,buscar minimizar,['opinión'],['camino seguir'],,['proteccion'],,,
,,,,,,,,,,,,,,,,,,,indefenso,['modelo'],['preparación'],,['sentir él seguro'],,,
,,,,,,,,,,,,,,,,,,,cuidado,['imaginación'],['ser precavido'],,['llevar preocupar él distinto situación'],,,
,,,,,,,,,,,,,,,,,,,riesgo,['proceso cognitivo interno'],['organizado'],,['comodidad'],,,
,,,,,,,,,,,,,,,,,,,correr riesgo hacer cierto actividad,['resultado reflexion personal'],['adelantar él situación'],,['sentir él protegido peligro'],,,
,,,,,,,,,,,,,,,,,,,ocurrir desgracia,['forma individual interpretacion'],['accion inteligente'],,['calma'],,,
,,,,,,,,,,,,,,,,,,,amenazar,['reflexion'],['tener claro proyección'],,['tranquilidad'],,,
,,,,,,,,,,,,,,,,,,,señal construcción prohibir paso bajo advertencia,['idea interno'],['buen desición'],,['protección'],,,
,,,,,,,,,,,,,,,,,,,usualmente deber evitar,['idea'],['oganización'],,['autoestima retratado caminar hablar'],,,
,,,,,,,,,,,,,,,,,,,riesgo perder,['estructura cerebro'],['protocolo'],,['confianza'],,,
,,,,,,,,,,,,,,,,,,,emergencia catástrofir,['concepto mental'],['algoritmo'],,['contrario tener temor miedo'],,,
,,,,,,,,,,,,,,,,,,,vez aceptar saber riesgo poder traer,['idea ocurrir'],['receta acto realizar lograr objetivo'],,['confianza'],,,
,,,,,,,,,,,,,,,,,,,seguridad,['rondar mente'],['aticulacion paso paso fin alcanzar objetivo determinado'],,['sensanción plenitud'],,,
,,,,,,,,,,,,,,,,,,,poder ser considerado amenazar,['idea suceso mente compartir'],['procedimiento alcanzar fin'],,['sensancion tranquilidad frentear situacion'],,,
,,,,,,,,,,,,,,,,,,,tender reaccionar miedo,['intangible'],['maquinacion'],,['resguardo'],,,
,,,,,,,,,,,,,,,,,,,ansiedad,['capacidad cerebro crear estructurar concepto abstracto luego transforma concreto creer idea'],['organización determinado premeditado'],,['proteccion'],,,
,,,,,,,,,,,,,,,,,,,adrenalinar,['idea'],['mapa ruta objetivo especifico'],,['sentir él auxiliar'],,,
,,,,,,,,,,,,,,,,,,,malo,['motor grande trabajar través concepto aprendido generar respuesta'],['modelo organización'],,['correr ningun riesgo'],,,
,,,,,,,,,,,,,,,,,,,dañino,['nucleo idea'],['acción sistematizar futuro'],,['atravesar burbujo personal'],,,
,,,,,,,,,,,,,,,,,,,poder salir perjudicado enfrentar,['abstracto'],['suseso acción conun fin'],,['proteccion'],,,
,,,,,,,,,,,,,,,,,,,adevertencia,['mundo filosofía'],['idea conseguir proposito'],,['peligro'],,,
,,,,,,,,,,,,,,,,,,,cuidado,['idea cabeza'],"['diseñar estrategia seguir', 'realizar particular']",,['salvo'],,,
,,,,,,,,,,,,,,,,,,,amenazar,['surgir cualquiera ocasiòn'],['tomar decision varios pesona individulmente llevar cabo hecho'],,['sentir él tranquilo'],,,
,,,,,,,,,,,,,,,,,,,bajo alguno tipo riesgo,,,,['protegido'],,,
,,,,,,,,,,,,,,,,,,,poder ocurrir desgracia indeseado,,,,['respaldado'],,,
,,,,,,,,,,,,,,,,,,,inerperar,,,,['sensacion tranquilidad bienestar peligro'],,,
,,,,,,,,,,,,,,,,,,,susto,,,,['certeza confianza'],,,
,,,,,,,,,,,,,,,,,,,acción desconocido,,,,['obtener lejos cualquiera riesgo'],,,
,,,,,,,,,,,,,,,,,,,seguro,,,,['comentario buscar ser apor tú positivo'],,,
,,,,,,,,,,,,,,,,,,,amenazar,,,,['indispensable favorecer optimizacion accion'],,,
,,,,,,,,,,,,,,,,,,,cuidado,,,,['entrega favorecer resultado'],,,
,,,,,,,,,,,,,,,,,,,precausión,,,,['consejo buscar ser apor tú'],,,
,,,,,,,,,,,,,,,,,,,atención,,,,['sentise protegido situación vida'],,,
,,,,,,,,,,,,,,,,,,,malo,,,,['aquel acerca expresarte gratitud hicistir'],,,
,,,,,,,,,,,,,,,,,,,reflejar reflejar mediante miedo,,,,['retribución acto'],,,
,,,,,,,,,,,,,,,,,,,palabra utilizar anticipadamente realizar,,,,['empatir'],,,
,,,,,,,,,,,,,,,,,,,concepto señalar vivir situacion llevar problema,,,,['tacto'],,,
,,,,,,,,,,,,,,,,,,,sensacion miedo,,,,['actualidad hacer contrario usar venganza'],,,
,,,,,,,,,,,,,,,,,,,amenazar hacia vida,,,,['dar gracias devolver favor'],,,
,,,,,,,,,,,,,,,,,,,existir todo parte,,,,['sentir él protegido'],,,
,,,,,,,,,,,,,,,,,,,gana gritar,,,,['bulnerable'],,,
,,,,,,,,,,,,,,,,,,,,,,,['confiar'],,,
,,,,,,,,,,,,,,,,,,,,,,,['sentir él bien'],,,
,,,,,,,,,,,,,,,,,,,,,,,['pasado llevar'],,,
,,,,,,,,,,,,,,,,,,,,,,,['protecciòn'],,,
,,,,,,,,,,,,,,,,,,,,,,,['resguardo'],,,
,,,,,,,,,,,,,,,,,,,,,,,['dar padre hijo'],,,
,,,,,,,,,,,,,,,,,,,,,,,['brindar carabinero'],,,
,,,,,,,,,,,,,,,,,,,,,,,['labor guardia'],,,
